TX,2020-03-16,2244
TX,2020-03-17,2068
TX,2020-03-18,2056
TX,2020-03-19,2004
TX,2020-03-20,1943
TX,2020-03-21,1585
TX,2020-03-22,1736
TX,2020-03-23,1440
TX,2020-03-24,1448
TX,2020-03-01,2248
TX,2020-03-02,2304
TX,2020-03-03,2201
TX,2020-03-04,2182
TX,2020-03-05,2296
TX,2020-03-06,2303
TX,2020-03-07,1947
TX,2020-03-08,2263
TX,2020-03-09,2306
TX,2020-03-10,2220
TX,2020-03-11,2224
TX,2020-03-12,2305
TX,2020-03-13,2275
TX,2020-03-14,1949
TX,2020-03-15,2268
TX,2020-03-31,1005
NY,2020-03-01,1090
NY,2020-03-02,1194
NY,2020-03-03,1154
NY,2020-03-04,1177
NY,2020-03-05,1185
NY,2020-03-06,1195
NY,2020-03-07,847
NY,2020-03-08,1089
NY,2020-03-09,1202
NY,2020-03-10,1168
NY,2020-03-11,1187
NY,2020-03-12,1221
NY,2020-03-13,1231
NY,2020-03-14,895
NY,2020-03-15,1121
NY,2020-03-16,1204
NY,2020-03-17,1156
NY,2020-03-18,1122
NY,2020-03-19,1100
FL,2020-03-01,1892
FL,2020-03-02,1842
FL,2020-03-03,1733
FL,2020-03-04,1801
FL,2020-03-05,1859
FL,2020-03-06,1883
FL,2020-03-07,2038
FL,2020-03-08,1952
FL,2020-03-09,1914
FL,2020-03-10,1836
FL,2020-03-11,1890
FL,2020-03-12,1926
FL,2020-03-13,1942
FL,2020-03-14,2103
FL,2020-03-16,1923
FL,2020-03-17,1801
FL,2020-03-18,1814
FL,2020-03-19,1732
FL,2020-03-20,1692
FL,2020-03-21,1765
FL,2020-03-23,1331
FL,2020-03-24,1197
FL,2020-03-25,1107
FL,2020-03-27,947
FL,2020-03-28,1032
FL,2020-03-30,799
TX,2020-03-26,1229
TX,2020-03-27,1048
CA,2020-03-01,2285
CA,2020-03-02,2455
CA,2020-03-03,2358
CA,2020-03-04,2371
CA,2020-03-05,2466
CA,2020-03-06,2476
CA,2020-03-07,1989
CA,2020-03-08,2320
CA,2020-03-09,2469
CA,2020-03-10,2351
CA,2020-03-11,2367
CA,2020-03-12,2487
CA,2020-03-13,2446
CA,2020-03-14,1984
CA,2020-03-15,2297
CA,2020-03-16,2425
CA,2020-03-17,2291
CA,2020-03-18,2171
CA,2020-03-19,2047
CA,2020-03-20,2073
CA,2020-03-21,1529
CA,2020-03-22,1622
CA,2020-03-24,1503
CA,2020-03-25,1453
IL,2020-03-02,1380
IL,2020-03-03,1343
IL,2020-03-04,1345
IL,2020-03-05,1388
IL,2020-03-06,1394
IL,2020-03-07,1193
IL,2020-03-08,1356
IL,2020-03-09,1435
IL,2020-03-10,1415
IL,2020-03-11,1420
